track_id,album_title,artist_name,genre,track_title
2,AWOL - A Way Of Life,AWOL,HipHop,Food
3,AWOL - A Way Of Life,AWOL,HipHop,Electric Ave
5,AWOL - A Way Of Life,AWOL,HipHop,This World
10,Constant Hitmaker,Kurt Vile,Pop,Freeway
134,AWOL - A Way Of Life,AWOL,HipHop,Street Music
139,Every Man For Himself,Alec K. Redfearn & the Eyesores,Folk,CandyAss
140,The Blind Spot,Alec K. Redfearn & the Eyesores,Folk,Queen Of The Wires
141,Every Man For Himself,Alec K. Redfearn & the Eyesores,Folk,Ohio
142,The Quiet Room,Alec K. Redfearn & the Eyesores,Folk,Punjabi Watery Grave
144,Amoebiasis,Amoebic Ensemble,Jazz,Wire Up
145,Amoebiasis,Amoebic Ensemble,Jazz,Amoebiasis
146,Limbic Rage,Amoebic Ensemble,Jazz,Gimme a Buck or I'll Touch You / Boilermaker
147,Limbic Rage,Amoebic Ensemble,Jazz,Repetitive Motion Sickness
153,Arc and Sender,Arc and Sender,Rock,Hundred-Year Flood
154,Arc and Sender,Arc and Sender,Rock,Squares And Circles
155,unreleased demo,Arc and Sender,Rock,Maps of the Stars Homes
169,Boss of Goth,Argumentix,Rock,Boss of Goth
170,Nightmarcher,Argumentix,Rock,Industry Standard Massacre
171,Victim of Your Life,Argumentix,Rock,Marching as Technitions
172,Heir to the Power Bear Fortune,Argumentix,Rock,I Can't Stand You Up-right
173,Boss of Goth,Argumentix,Rock,Save Life's Golden Receipt In Case Refund Needed
174,Boss of Goth,Argumentix,Rock,Senator's Stance
175,Nightmarcher,Argumentix,Rock,Snapped Today
176,Victim of Your Life,Argumentix,Rock,Step Up to Legends
177,Boss of Goth,Argumentix,Rock,Petty Hate Machine
178,"Tarantula Downpour 7""",Argumentix,Rock,Lend Me a Blanket
179,Dracula Safari,Argumentix,Rock,Ready to Die
189,What I Know,Ed Askew,Folk,The Thought Of It
190,Blue Piano,Ed Askew,Folk,Castle Of Stars
191,What I Know,Ed Askew,Folk,Song About Michael
192,What I Know,Ed Askew,Folk,Ed Talk WNYC
193,Blue Piano,Ed Askew,Folk,Here With You
194,Blue Piano,Ed Askew,Folk,All I want to Do
195,What I Know,Ed Askew,Folk,I Remember You
196,What I Know,Ed Askew,Folk,Bright Mr Brother
197,Blue Piano,Ed Askew,Folk,Piano 2
198,Blue Piano,Ed Askew,Folk,It Breaks My Heart
199,What I Know,Ed Askew,Folk,Rimbaud
200,Blue Piano,Ed Askew,Folk,Baby Come Home
201,What I Know,Ed Askew,Folk,Big City
202,What I Know,Ed Askew,Folk,Palomino
203,Blue Piano,Ed Askew,Folk,Song For R
204,Blue Piano,Ed Askew,Folk,My Dream
205,What I Know,Ed Askew,Folk,What Crow Saw
206,What I Know,Ed Askew,Folk,Bella Crane
207,Blue Piano,Ed Askew,Folk,Piano 3
208,Blue Piano,Ed Askew,Folk,Safe Harbor
209,Blue Piano,Ed Askew,Folk,Safe Harbor
210,Blue Piano,Ed Askew,Folk,In the French Court
211,Blue Piano,Ed Askew,Folk,In America
212,Blue Piano,Ed Askew,Folk,When I Arive
213,Au,Au,Pop,Boute
226,Bad News Bats,Bad News Bats,Rock,W.T.M.
228,Bad News Bats,Bad News Bats,Rock,Don't Run With Pizzas
236,Bersa Discos #8,Banana Clipz,AvantGarde|International|,"Push Am (Left, Right)"
237,6,Barnacled,Jazz,Garbage and (Garbage and Fire)
238,6,Barnacled,Jazz,France Attacks
247,On Opaque Things,Bird Names,Rock,A New Map for Kissing
249,On Opaque Things,Bird Names,Rock,The Indefinite Time Yet to Come
252,On Opaque Things,Bird Names,Rock,It's Becoming a Stranger
255,On Opaque Things,Bird Names,Rock,We Want to be Old
256,Black Elk,Black Elk,Rock,Toggle
257,Black Elk,Black Elk,Rock,My Lil'
258,Black Elk,Black Elk,Rock,Eyebone
303,Green Collection,Blah Blah Blah,Rock,Splish spladdy
304,Stripey Collection,Blah Blah Blah,Rock,Woo You
305,Gold Collection,Blah Blah Blah,Rock,Disney on Ice
306,Green Collection,Blah Blah Blah,Rock,The Prime Four
307,Green Collection,Blah Blah Blah,Rock,Out on the farm
308,Stripey Collection,Blah Blah Blah,Rock,The Hotel
309,Green Collection,Blah Blah Blah,Rock,Where are all the people
310,Gold Collection,Blah Blah Blah,Rock,Going Down to Soho
311,Stripey Collection,Blah Blah Blah,Rock,Tropical Holiday Time
312,Green Collection,Blah Blah Blah,Rock,Tropical Sheep
313,Stripey Collection,Blah Blah Blah,Rock,Think Things Of You
314,Green Collection,Blah Blah Blah,Rock,Daisey Chains
315,Gold Collection,Blah Blah Blah,Rock,Interference
316,Gold Collection,Blah Blah Blah,Rock,Itching in my pants
317,Stripey Collection,Blah Blah Blah,Rock,Very Nice
318,30th Anniversary Blah Blah Blah,Blah Blah Blah,Rock,1-2-3-4
319,Green Collection,Blah Blah Blah,Rock,Complete Shakespeare
320,Gold Collection,Blah Blah Blah,Rock,The Natives are Restless
321,Stripey Collection,Blah Blah Blah,Rock,Heart Attack
322,Green Collection,Blah Blah Blah,Rock,Shopping Bag
323,Green Collection,Blah Blah Blah,Rock,Crocodile Song
324,Stripey Collection,Blah Blah Blah,Rock,I just don't know
325,Gold Collection,Blah Blah Blah,Rock,Liquidizing Chickens
326,Stripey Collection,Blah Blah Blah,Rock,Burn
327,Stripey Collection,Blah Blah Blah,Rock,Hands Beckoning
328,Stripey Collection,Blah Blah Blah,Rock,Central Park
331,Green Collection,Blah Blah Blah,Rock,Weatherman
332,30th Anniversary Blah Blah Blah,Blah Blah Blah,Rock,39th floor Club
333,30th Anniversary Blah Blah Blah,Blah Blah Blah,Rock,Blah intro
